"nanyangSiteId","siteNameZh","siteNameAlt1","siteNameAlt2","latitude","longitude"
"fi-wf-285","福德廟","Fude miao (Hok Tek Bio) or Temple of Happiness and Virtue","Kelenteng Hok Tek Bio",-7.331683,110.504318
"fi-wf-286","鎮國寺","Zhenguo si (Tien Kok Sie) or Temple of Protection of State","Tien Kok Sie Temple (Vihara Alokiteswara)",-7.569647,110.831382
"fi-wf-287","保安宮","Baoan gong (Poo An Kiong) or Temple of Protected Peace","TITD Poo An Kiong",-7.57479,110.822823
"fi-wf-288","莫佐華人墓地","Chinese cemetery of Mojo",,,
"fi-wf-289","曾氏墓園","cemetery of the Tjan (Zeng) family",,,
"fi-wf-290","澤海宮","Zehai gong (Tek Hay Kiong) or Temple of Favoured Seas","Tek Hay Kiong temple, Kelenteng Tek Hay Kiong",-6.858458,109.137504
"fi-wf-291","格帝汶新塚","cemetery of Ketiwon",,,
"fi-wf-292","阿森蒂加舊墓","ancient ceretery of Asem Tiga",,,
"fi-wf-293","光靈廟","Guangling miao or Temple of Luminous Spirit","Kelenteng Konglingbio T.I.T.D. Cahaya Sakti Temanggung",-7.318121,110.183194
"fi-wf-294","福德廟","Fude miao or Temple of Happiness and Virtue",,,
"fi-wf-295","舊墓地","Remnants of an ancient cemetery",,,
"fi-wf-296","勞冉年公墓","community cemetery of Ulujami",,,
"fi-wf-297","華人墓地","Chinese cemetery",,,
"fi-wf-298","福德堂","Fude tang or Temple of Happiness and Virtue","Klenteng Hok Tek Bio",-6.787715,110.720434
"fi-wf-299","玄天上帝廟","Xuantian shangdi miao (Hian Thian Siang Tee Bio) or Temple of God of Profound Heavens","Klenteng Hian Thian Siang Tee",-6.786813,110.720805
"fi-wf-300","鎮靈宮","Zhenling gong (Cin Ling Kiong) or Temple of Sujugation of Spirits","Klenteng Tjen Ling Kiong",-7.782352,110.365342
"fi-wf-301","福靈廟","Fuling miao (Hok Ling Bio) or Temple of Happiness","Fuk Ling Miau temple",-7.801843,110.369526
"fi-wf-302","森多沃公墓","cemetery of Sendowo",,,
"fi-wf-303","桑甘墓地","cemetery of Sangan",,,
"fi-wf-304","第九代日惹蘇丹即位紀念碑",,,,
"fi-wf-305","福安宮","Fuan gong (Hok An Kiong) or Temple of Happiness and Peace , also called Tianshang shengmu miao (Tian Siang Sing Bo Bio) or Temple of Holy Mother from Heaven","Suka Loka Temple, Klenteng Suka Loka",-7.23984,112.740637
"fi-wf-306","文廟","Wen miao (Boen Bio) or Temple of Literature","Kelenteng Boen Bio, Surabaya",-7.2395,112.748012
"fi-wf-307","鄭氏紹陽祖廟","Zhengshi Shaoyang zumiao (Sie Siauw Yang Tjohbiauw) or Temple to our Ancestor Zheng Shaoyang",,-7.239268,112.738614
"fi-wf-308","鳳德軒","Fengde xuan (Hong Tik Hian) or Temple of Virtue of Phoenix (Mountain)","Temple Hong Tiek Hian",-7.237373,112.743896
"fi-wf-309","古城會館","Gucheng huiguan",,,
"fi-wf-310","廣澤尊王廟","Guangze zunwang miao or Temple to Honorable King of Wide Extended Favour, also called Fengshan gudi (Hong San Ko Dee) or Mountain of Phoenix, His Ancient Dwelling Place","Kelenteng Hong San Koo Tee",-7.278225,112.739287
"fi-wf-311","三保廟","Sanbao miao or Temple to Sanbao","Klenteng Mbah Ratu 'SAM POO TAY DJIEN",-7.233608,112.721305
"fi-wf-312","福建功德祠","Fujian gongde ci (Hokkien Kong Tik Soe) or Temple of Merits from Fujian",,,
"fi-wf-313","北極廟","Beiji miao (Pak Kik Bio) or Temple of Northern Pole","Klenteng Pak Kik Bio - Hian Thian Siang Tee",-7.247934,112.744513
"fi-wf-314","「墓市」墳墓地","cemetery of Pasar Bong",,,
"fi-wf-315","私家墓地","A private cemetery of which a single tombstone has survived",,,
"fi-wf-316","惠潮嘉會館","Huichaojia huiguan (Hwie Tiauw Ka Hwee Kwan) or former Guangdong gongci","Perkumpulan Hwie Tiauw Ka",-7.239542,112.740913
"fi-wf-317","韓氏輅軒祖廟","ancestral temple of the Han, called Hanshi Luxuan Zumiao or Han Sie Lok Hian Tjok Biauw","Rumah Abu Han",-7.238365,112.738644
"fi-wf-318","廣東義山","Guangdong yishan of Collective cemetery of Cantonese",,,
"fi-wf-319","林氏墓地","private cemetery of Liem (Lin) family",,,
"fi-wf-320","公墓","public cemetery of Bagor",,,
"fi-wf-321","護唐廟","Hutang miao (Ho Tong Bio) or Temple of the Protection of Chinese","Tempat Ibadah Hoo Tong Bio",-8.217654,114.379263
"fi-wf-322","華人墓地","Chinese Cemeteries",,,
"fi-wf-323","保唐廟","Baotang miao (Poo Tang Bio) or Temple of the Protection of Chinese","Vihara Poo Tong Bio",-7.73135,113.689051
"fi-wf-324","保安宮","Hutang miao (Ho Tong Bio) or Temple of the Protection of Chinese","Klenteng Poo An Kiong",-8.098565,112.158868
"fi-wf-325","勿里達公墓","public cemetery of Blitar",,,
"fi-wf-326","天上聖母廟","Tianshang shengmu miao (Thian Siang Sien Bo Bio) or Temple of the Holy Mother from Heaven, also called Jinxing gong (Kiem Hien Kiong) or Temple for the Prosperity of Gresik","Kim Hin Kiong",-7.158072,112.657692
"fi-wf-327","錦石義山","public cemetery of Gresik",,,
"fi-wf-328","福隆宮","Fulong gong (Hok Liong Kiong) or Temple of Happiness and Prosperity","Klenteng Hok Liong Kiong",-7.541052,112.231864
"fi-wf-329","加厘安基義山","public cemetery of Kalianget",,,
"fi-wf-330","慈惠宮","Cihui gong or Temple of Compassion and Kindness","Kelenteng Tjoe Hwie Kiong",-7.819991,112.009646
"fi-wf-331","克洛托克義山","public cemetery of Klotok",,,
"fi-wf-332","惠榮宮","Huirong gong (Hwee Ing Kiong) or Temple of the Glorious Favour","Tempat Ibadah Tri Dharma Hwie Ing Kiong Kota Madiun",-7.63359,111.520007
"fi-wf-333","末里汾義山","public cemetery of Madiun",,,
"fi-wf-334","永安宮","Yongan gong (Eng An Kiong) or Temple of the Far reaching Peace","Klenteng Eng An Kiong",-7.987315,112.63638
"fi-wf-335","瑪郎義山","public cemetery of Chinese of Malang",,,
"fi-wf-336","茂淮廟","Maohuai miao (Bo Hway Bio)","Klenteng Boo Hway Bio",-7.569176,112.34533
"fi-wf-337","福善宮","Fushan gong (Hok Sian Kiong)","Tempat Ibadah Tri Dharma Hok Sian Kiong",-7.466417,112.436008
"fi-wf-338","墓碑","Tombstones",,,
"fi-wf-339","華人墓地","Chinese cemetery of Pamekasan",,,
"fi-wf-340","慈德宮","Cide gong (Tjoe Tik Kiong) or Temple of Virtue and Kindness","Klenteng Tjoe Tik Kiong",-7.63669,112.905344
"fi-wf-341","特門貢甘公墓","public cemetery of Temenggungan",,,
"fi-wf-342","郭氏墓地","private cemetery of the Guo family",,,
"fi-wf-343","韓氏墓園","cemetery of the Han family",,,
"fi-wf-344","龍泉廟","Longquan miao (Liong Tjwan Bio) or Temple of the Dragon's Well","Vihara Sumber Naga",-7.746894,113.221035
"fi-wf-345","德龍殿","Delong dian (Tik Liong Tian) or Temple of the Dragon's Virtue","Tik Liong Tian Chinese Temple, Klenteng Tik Liong Tian",-8.305653,114.294274
"fi-wf-346","保善靈宮","Bao shanling gong (Pao Sian Lin Kong) or Temple of the Good Spirit","Klenteng Pao Xian Lin Kong",-7.022958,113.87908
"fi-wf-347","須文納義山","public cemetery of Sumenep",,,
"fi-wf-348","慈靈宮","Ciling gong (Tjoe Ling Kiong) or Temple of Divine Compassion","Klenteng Tjoe Ling Kiong, Tjoe Ling Kiong",-6.894233,112.065775
"fi-wf-349","關聖廟","Guansheng miao (Kwan Sing Bio) or Temple to Guandi","Kwan Sing Bio",-6.885511,112.050753
"fi-wf-350","舊墓地","former cemetery of Sendangharjo",,,
"fi-wf-351","私家墓園","A private cemetery",,,
"fi-wf-352","慈德宮","Cide gong (Tjoe Tik Kiong ) or Temple of Compassion and Virtue","Klenteng TITD Tjoe Tik Kiong",-8.061276,111.899449
"fi-wf-353","華人墓地","Chinese Cemetery",,,
"fi-wf-354","金獅廟","temple of the Golden Lion, Jinshi miao","Amurva Bhumi Temple",-8.56587,115.2925
"fi-wf-355","華人墓地","Chinese Cemetery",,,
"fi-wf-356","公祖廟","Gongzu Miao","Vihara Dharmayana Temple",-8.72385,115.1779
"fi-wf-357","華人墓地","Chinese Cemetery",,,
"fi-wf-358","華人墓地","Chinese Cemetery",,,
"fi-wf-359","華人墓地","Chinese Cemetery",,,
"fi-wf-360","靈源宮","Lingyuan gong","Klenteng Ling Gwan Kiong",-8.1039,115.089832
"fi-wf-361","城隍廟","Chenghuang miao","T.I.T.D. Seng Hong Bio",-8.102157,115.09199
"fi-wf-362","華人墓地","Chinese Cemetery",,,
"fi-wf-363","先瑪腰公館","residence of former Majoor",,,
"fi-wf-364","先瑪腰後人住所","residence of the descendants of former Majoor",,,
"fi-wf-365","三聖廟","Sansheng miao","Vihara Bodhisatva Karaniya Metta",-0.023344,109.341903
"fi-wf-366","福德祠","Fudeci","Kelenteng Pekong Laut",-0.01844,109.3453
"fi-wf-367","關帝廟","Guandi miao","Kwan Tie Bio",-0.028325,109.340432
"fi-wf-368","雙忠爺廟","Shuang Zhongye miao","Vihara Tri Dharma Dwi Dharma Bhakti SangTong Bio",-0.02757,109.343
"fi-wf-369","感天大帝廟","Gantian dadi miao","Klenteng Kam Thian Thai Tie",-0.00421,109.3366
"fi-wf-370","元帥爺廟","Yuanshuai ye miao",,,
"fi-wf-371","城隍廟","Chenghuang miao","Klenteng Tri Darma Adipati Sia Ng Bio",-0.028946,109.340458
"fi-wf-372","觀音堂","Guanyin tang","Vihara Kwan Yin Thang",-0.01825,109.3478
"fi-wf-373","龍華堂","Longhua tang",,,
"fi-wf-374","舊華人義山","old Chinese Cemetery",,,
"fi-wf-375","新華人義山","new Chinese Cemetery",,,
"fi-wf-376","錫安坦新華人義山","Siantan Cemetery",,,
"fi-wf-377","林氏西河公所","Association of the Lin Clan","Yayasan Halim",-0.03118,109.3398
"fi-wf-378","黃氏宗祠（江夏堂）","ancestral temple of the Huang Clan (Jiangxia tang)","Yayasan Mitra Kencana Pontianak",-0.032037,109.339568
"fi-wf-379","陳氏宗祠","ancestral temple of the Chen Clan",,,
"fi-wf-380","關帝等三廟","A complex of the three small wooden temples one of which is dedicated to Guandi","Sam Po Kung Temple",0.716095,108.8847
"fi-wf-381","玄天上帝廟","Xuantian shangdi miao","Klenteng Tri Dharma Hiang Thian Siang Tie Kakap",-0.06226,109.1767
"fi-wf-382","羅伯芳墓及紀念堂","site of the Tomb of Luo Fangbo with the remains of a memorial temple","Kelenteng Lo Fang Pak",0.202311,109.1501
"fi-wf-383","無鑒定墓","An unidentified tombstone",,,
"fi-wf-384","三聖宮","Sansheng gong","Vihara Tri Dharma Sengkubang",0.435799,108.9451
"fi-wf-385","福德祠","Fudeci","Vihara Tri Dharma Mempawah",0.358505,108.9622
"fi-wf-386","慈雲蔭","temple Ciyunyin",,0.223864,109.1451
"fi-wf-387","天后宮","Tianhou gong","Klenteng Thien Hew Sin Mu",,
"fi-wf-388","老華人義山","ancient Chinese Cemetery",,,
"fi-wf-389","新華人義山","new Chinese Cemetery",,,
"fi-wf-390","先華校","former Chinese School",,,
"fi-wf-391","散墓碑","Scattered tombstones",,,
"fi-wf-392","市郊墓碑","Tombstones close to the town",,,
"fi-wf-393","觀音堂","Guanyintang","Kelenteng Kwan Im Pemangkat",1.162768,108.9818
"fi-wf-394","五顯華光大帝宮","Huayuegong, Wuxian huaguang dadigong","Kelenteng Fa Kong Thai Tie",1.169875,108.9781
"fi-wf-395","大伯公廟","Dabogong miao","Vihara Tri Dharma Bumi Raya Kota Pemangkat",1.174845,108.9742
"fi-wf-396","天后宮","Tianhou gong","Kelenteng Shen Mu Nyong",1.17419,108.9736
"fi-wf-397","霸王廟","Bawang miao",,,
"fi-wf-398","華人義山","Chinese Cemetery",,,
"fi-wf-399","威振廟","Weizhen miao, Sanshigong shenmiao",,,
"fi-wf-400","謝法宮眾神廟","Xiefa gong, Zhongshen miao","Sam Bong Ja. Sam San Ket Bong",1.362702,109.2974
"fi-wf-401","三公里義山","Sangongli yishan",,,
"fi-wf-402","華僑公社第二墳場","Huaqiao Gongshe Di'er Fenchang. Second Chinese Cemetery",,,
"fi-wf-403","天后宮","Tianhou gong","Cetya Tri Dharma Bumi Raya Dewi Samudra",0.906684,108.98713
"fi-wf-404","眾志樓（觀音宮）","Zhongzhilou (Guanyin gong)","Vihara Dewi Kwan Im",0.904927,108.989964
"fi-wf-405","福德祠，觀音堂","Fudeci and Guanyin tang","Tri Dharma Bumi Raya Temple",0.909551,108.9889
"fi-wf-406","大伯公廟","Dabogong miao","Vihara Tridharma Bumi Raya",0.870544,108.9361
"fi-wf-407","觀音佛堂","Guanyin fotang",,,
"fi-wf-408","協天宮","Xietian gong","kuil kwan kong",0.871066,108.9417
"fi-wf-409","福德祠","Fudeci",,,
"fi-wf-410","乾德宮","Qiande gong","Tai Zu Temple",0.890911,108.9634
"fi-wf-411","福德宮","Fude gong",,,
"fi-wf-412","天后宮、協天宮","Tianhou gong (left) and Xietian gong (right)",,,
"fi-wf-413","帝公宮、乾真宮","Digong gong or Qianzhen gong",,,
"fi-wf-414","緣善佛堂","Yuanshan fotang",,,
"fi-wf-415","福律墳墓遺址","A Tomb site",,,
"fi-wf-416","華僑義山","Chinese Cemetery, Huaqiao yishan, Perkuburan Tionghoa, Gongsishan yishan",,,
"fi-wf-417","新華人義山","new Chinese Cemetery",,,
"fi-wf-418","福建義山","Fujian Cemetery",,,
"fi-wf-419","三神宮","Sanshen gong","Klenteng Tri Dharma Bakti",0.280087,109.0726
"fi-wf-420","先蘭芳宮觀","Former residence of Lanfang gongguan",,,
"fi-wf-421","福德祠","Fudeci","Vihara Tridharma Tebas",1.231873,109.1494
"fi-wf-422","觀音宮","Guanyin gong",,,
"fi-wf-423","保安宮，鳳山寺","Baoangong","Kelenteng Karta Raharja",-3.325918,114.592795
"fi-wf-424","慈聖宮、觀音廟","Cisheng gong, Guanyin miao","Klenteng Soetji Nurani",-3.3209,114.5944
"fi-wf-425","華人公塚","Chinese Cemetery",,,
"fi-wf-426","新華人公塚","new Cemetery",,,
"fi-wf-427","華人義山","Chinese Cemetery",,,
"fi-wf-428","華人義山","Chinese Cemetery",,,
"fi-wf-429","天儀宮","Tianyi gong","Klenteng Tian Gie Khong",-0.507947,117.156354
"fi-wf-430","新華人公塚","new Chinese Cemetery",,,
"fi-wf-431","廣德廟正靈殿","Guangde miao","Klenteng Guang De Miao / Ta Pek Kong",-1.275063,116.839961
"fi-wf-432","華人舊公塚","old Chinese Cemetery",,,
"fi-wf-433","華人義山","Chinese Cemetery",,,
"fi-wf-434","華僑義山","Chinese Cemetery",,,
"fi-wf-435","華人義山","Chinese Cemetery",,,
"fi-wf-436","天后宮","Tianhou gong","Klenteng Ibu Agung Bahari",-5.130818,119.406566
"fi-wf-437","龍顯宮","Longxian gong","Klenteng Xian Ma",-5.128765,119.408329
"fi-wf-438","保安宮","Baoan gong","Vihara Dharma Loka",-5.129054,119.409958
"fi-wf-439","關帝廟","Guandi miao (Guangdong Lianyi Huiguan)","Klenteng Kwan Kong",-5.127519,119.408849
"fi-wf-440","福建公祠","Fujian Ancestral Temple, Fujian Gongci","Yayasan Ibadah Bhakti Keluarga Nio",-5.130331,119.407238
"fi-wf-441","李氏家廟（永裕堂）","Lishi jiamiao, Yongyu tang",,-5.13104,119.4067
"fi-wf-442","湯家宗祠（崇本堂）","Tangjia Zongci, Chongbentang","Vihara Marga Tjoeng",-5.127235,119.40891
"fi-wf-443","華僑公塚","main Chinese Cemetery",,,
"fi-wf-444","昔清華中小學校","former Qinghua Primary and Secondary School",,,
"fi-wf-445","華僑公塚","Chinese Cemetery",,,
"fi-wf-446","廣東墳場","Guangdong Cemetery",,,
"fi-wf-447","薛公廟","Xuegong miao, Siekongbio","Kelenteng Sie Kong Bio",,
"fi-wf-448","昔義山","Scattered tombstones of a former cemetery",,,
"fi-wf-449","新華人義山","large new cemetery",,,
"fi-wf-450","另置墓","Single tombstione at Benteng bawa depan Pertamina",,,
"fi-wf-451","昔義山","Tombstones at the hill side of Jalan Wainitu Atas",,,
"fi-wf-452","昔義山","former residence of Major Zhang Yunan",,,
"fi-wf-453","昔義山","Tombstones at the hill side of Jalan Karang Panjiang",,,
"fi-wf-454","昔義山","Tombstones at the hill side of Jalan Batu Gantung",,,
